parents
f1,f2
156.06,6.64612,0
148.083,19.8973,0
151.643,6.79443,0
163.145,9.78006,1
152.493,79.4856,1
153.732,27.6841,1
154.85,14.6506,1
164.22,15.4247,2
156.445,57.4251,2
157.217,27.3752,2
160.438,20.171,2
161.812,18.755,2
157.558,21.5121,2
175.179,18.5233,3
157.372,93.0417,3
165.885,20.6455,3
157.615,60.4021,3
159.093,23.0161,3
157.867,33.0539,3
163.477,27.9018,4
157.821,64.6529,4
159.639,53.966,4
160.186,35.6479,4
162.408,35.3713,4
165.475,28.8632,5
159.185,64.9407,5
160.458,35.8845,5
160.427,49.7373,5
166.237,29.9036,6
160.051,65.5905,6
161.119,41.714,6
160.481,46.4066,6
172.931,30.3814,7
161.185,57.885,7
166.5,35.0405,7
164.359,45.3417,7
165.783,43.9057,7
172.467,36.1635,8
161.195,82.9451,8
167.083,45.225,8
171.266,38.1345,8
167.34,43.9731,8
167.73,44.7535,9
162.776,108.812,9
176.97,50.3893,10
168.472,74.6852,10
169.393,58.573,10
170.067,67.8068,11
174.619,80.0736,12
171.062,81.9453,12
children
f1,f2
160.186,35.6479,0
160.051,65.5905,0
157.217,27.3752,0
157.372,93.0417,0
165.885,20.6455,0
167.083,45.225,0
151.643,6.79443,0
157.372,93.0417,0
160.438,20.171,0
164.22,15.4247,0
166.237,29.9036,0
165.885,20.6455,0
160.673,64.0576,0
152.493,79.4856,0
162.408,35.3713,0
162.408,35.3713,0
157.868,32.8129,0
156.06,7.58924,0
151.643,6.79443,0
160.458,35.8845,0
159.639,53.966,0
157.558,21.5121,0
164.359,45.3417,0
157.821,64.6529,0
152.493,79.4856,0
159.093,23.0161,0
175.179,18.5233,0
164.22,15.4247,0
157.821,64.6529,0
166.305,29.7823,0
154.85,14.6506,0
154.85,14.6506,0
151.643,6.79443,0
175.179,18.5233,0
157.217,27.3752,0
167.083,45.225,0
159.093,23.0161,0
171.266,37.4755,0
159.345,66.1572,0
152.493,78.6331,0
160.186,35.6479,0
160.438,20.171,0
160.438,20.2199,0
175.179,17.6709,0
161.189,18.755,0
163.477,28.073,0
165.885,20.6455,0
163.477,27.9018,0
148.083,19.8973,0
163.145,9.78006,0
